agency_id,agency_name,city,state_code,state_abbr,state_name,region_code,region,division_code,division,agency_type_code,agency_type,population_group_code,population_group,population,population_previous,is_core_city,is_nibrs_reporting,date_agency_added,date_nibrs_started,date_inactive,reporting_year,county_code_1,msa_code_1,fips_county_codes,years_since_nibrs,is_active
AL0370100,ABBEVILLE,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,6,"Cities 2,500-9,999",2539,0,False,True,,2020-01-01,,2021,034,227,067,4.999315537303217,True
AL0370100,ABBEVILLE,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,7,"Cities <2,500",2390,0,False,True,,2020-01-01,,2022,034,227,067,4.999315537303217,True
AL0370100,ABBEVILLE,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,7,"Cities <2,500",2371,0,False,True,,2020-01-01,,2023,034,227,067,4.999315537303217,True
AL0370100,ABBEVILLE,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,7,"Cities <2,500",2386,0,False,True,,2020-01-01,,2024,034,227,067,4.999315537303217,True
AL0370000,HENRY,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,2,County,9D,"MSA Counties <10,000",9746,0,False,True,,2020-01-01,,2021,034,227,067,4.999315537303217,True
AL0370000,HENRY,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,2,County,9D,"MSA Counties <10,000",9556,0,False,True,,2020-01-01,,2022,034,227,067,4.999315537303217,True
AL0370000,HENRY,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,2,County,9D,"MSA Counties <10,000",9640,0,False,True,,2020-01-01,,2023,034,227,067,4.999315537303217,True
AL0370000,HENRY,ABBEVILLE,01,AL,Alabama,3,South,6,East South Central,2,County,9D,"MSA Counties <10,000",9823,0,False,True,,2020-01-01,,2024,034,227,067,4.999315537303217,True
AL0012200,ADAMSVILLE,ADAMSVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,6,"Cities 2,500-9,999",4185,0,False,True,,2020-01-01,,2021,037,98,073,4.999315537303217,True
AL0012200,ADAMSVILLE,ADAMSVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,6,"Cities 2,500-9,999",4233,0,False,True,,2020-01-01,,2022,037,98,073,4.999315537303217,True
AL0012200,ADAMSVILLE,ADAMSVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,6,"Cities 2,500-9,999",4158,0,False,True,,2020-01-01,,2023,037,98,073,4.999315537303217,True
AL0012200,ADAMSVILLE,ADAMSVILLE,01,AL,Alabama,3,South,6,East South Central,1,City,6,"Cities 2,500-9,999",4111,0,False,True,,2020-01-01,,2024,037,98,073,4.999315537303217,True
