incident_date,year,month,day_of_week,quarter,state_name,region,division,city,location,agency_name,agency_type,population_group,population,offense_description,offense_severity,bias_category,bias_motivation,total_victims,adult_victims,juvenile_victims,total_offenders,adult_offenders,juvenile_offenders,victim_types,offender_race,offender_ethnicity
2021-01-01,2021,1,Friday,Q1,Alabama,South,East South Central,CROSSVILLE,Residence/Home,CROSSVILLE,City,"Cities <2,500",1810,Arson,Non-Violent,Race/Ethnicity,Anti-White,1,1,0,1,1,0,Individual,Black or African American,Not Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,Arizona,South,East South Central,LIVINGSTON,Residence/Home,LIVINGSTON,City,"Cities 2,500-9,999",3112,Robbery,Violent,Religion,Anti-Church of Jesus Christ (LDS),1,1,0,1,1,0,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,California,South,East South Central,RAINBOW CITY,Residence/Home,RAINBOW CITY,City,"Cities 10,000-24,999",10309,Intimidation,Non-Violent,Race/Ethnicity,Anti-Black or African American,2,2,0,1,1,0,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,California,South,East South Central,UNIONTOWN,Highway/Road/Alley,UNIONTOWN,City,"Cities <2,500",2102,Aggravated Assault,Violent,Race/Ethnicity,Anti-Black or African American,1,1,0,1,1,0,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,California,South,East South Central,WEST BLOCTON,Restaurant,WEST BLOCTON,City,"Cities <2,500",1222,Intimidation,Non-Violent,Sexual Orientation,Anti-Gay (Male),1,1,0,1,1,0,Individual,Unknown,Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,California,West,Pacific,BARROW,Park/Playground,NORTH SLOPE BOROUGH,City,"Cities 10,000-24,999",10698,Destruction/Damage/Vandalism of Property,Non-Violent,Religion,Anti-Jewish,0,0,0,0,0,0,"Business, Government",Unknown,
2021-01-01,2021,1,Friday,Q1,Colorado,West,Mountain,Fort McDowell,"Specialty Store (TV, Fur, Etc.)",FORT MCDOWELL TRIBAL,Tribal / BIA Agencies,"Cities <2,500",0,Aggravated Assault,Violent,Race/Ethnicity,Anti-Arab,3,3,0,1,1,0,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,Colorado,West,Mountain,GILA BEND,Parking Lot/Garage,GILA BEND,City,"Cities <2,500",1880,Intimidation,Non-Violent,Race/Ethnicity,Anti-Hispanic or Latino,1,1,0,1,1,0,Individual,American Indian/Alaska Native,Unknown
2021-01-01,2021,1,Friday,Q1,Colorado,West,Mountain,KINGMAN,Highway/Road/Alley,KINGMAN,City,"Cities 25,000-49,999",32210,Aggravated Assault,Violent,Race/Ethnicity,Anti-Black or African American,1,1,0,1,1,0,Individual,White,Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,Unknown,West,Mountain,,Church/Synagogue/Temple,"DEPT OF PUBLIC SAFETY, PHOENIX",State Agency Enforcement Unit,"Cities <2,500",0,Destruction/Damage/Vandalism of Property,Non-Violent,Race/Ethnicity,Anti-Black or African American,0,0,0,0,0,0,Religious Organization,Unknown,Unknown
2021-01-01,2021,1,Friday,Q1,Florida,South,West South Central,DES ARC,Residence/Home,DES ARC,City,"Cities <2,500",1553,All Other Larceny (23H),Non-Violent,Race/Ethnicity,Anti-Black or African American,1,1,0,2,0,2,Individual,White,Unknown
2021-01-01,2021,1,Friday,Q1,Florida,South,West South Central,DES ARC,Residence/Home,DES ARC,City,"Cities <2,500",1553,All Other Larceny,Non-Violent,Race/Ethnicity,Anti-Black or African American,1,1,0,2,0,2,Individual,White,Unknown
2021-01-01,2021,1,Friday,Q1,Florida,South,West South Central,SULPHUR SPRINGS,Residence/Home,SULPHUR SPRINGS,City,"Cities <2,500",464,Intimidation,Non-Violent,Sexual Orientation,Anti-LGBTQ+ (Mixed Group),2,2,0,2,2,0,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,Georgia,South,West South Central,,Residence/Home,State Park:  Devil's Den State,State Agency Enforcement Unit,Possessions,0,Intimidation,Non-Violent,Disability,Anti-Mental Disability,1,1,0,0,0,0,Individual,Unknown,
2021-01-01,2021,1,Friday,Q1,Idaho,West,Pacific,HANFORD,Residence/Home,KINGS,County,"MSA Counties 25,000-99,999",31478,Rape,Violent,Religion,Anti-Buddhist,1,1,0,1,1,0,Individual,White,Hispanic or Latino
2021-01-01,2021,1,Friday,Q1,Illinois,West,Pacific,MONTEREY PARK,Other/Unknown,PICO RIVERA,City,"Cities 50,000-99,999",61180,Destruction/Damage/Vandalism of Property,Non-Violent,Religion,Anti-Jewish,0,0,0,0,0,0,Religious Organization,Unknown,
2021-01-01,2021,1,Friday,Q1,Massachusetts,West,Mountain,BOULDER,Residence/Home,BOULDER,City,"Cities 100,000-249,999",104232,Intimidation,Non-Violent,Sexual Orientation,Anti-Gay (Male),1,1,0,1,1,0,Individual,Unknown,Unknown
2021-01-01,2021,1,Friday,Q1,Michigan,Northeast,New England,MIDDLETOWN,"Specialty Store (TV, Fur, Etc.)",MONTVILLE,City,"Cities <2,500",0,Simple Assault,Violent,Religion,Anti-Islamic (Muslim),1,1,0,0,0,0,Individual,Unknown,
2021-01-01,2021,1,Friday,Q1,Michigan,Northeast,New England,NEW HAVEN,Highway/Road/Alley,NEW HAVEN,City,"Cities 100,000-249,999",141481,Intimidation,Non-Violent,Race/Ethnicity,Anti-Black or African American,1,0,1,1,0,1,Individual,White,
