agency_id,incident_id,incident_date,agency_index,state_code,state_name,quarter_code,quarter,data_source_code,data_source,offense_code,offense_description,location_code,location,offense_victims,bias_code,bias_motivation,bias_category,victim_types_raw,victim_types,total_victims_reported,adult_victims,juvenile_victims,total_victims,total_offenders_reported,adult_offenders,juvenile_offenders,total_offenders,offender_race_code,offender_race,offender_ethnicity_code,offender_ethnicity,year,month,day_of_week,is_weekend,offense_severity
AL0520100,GM5B8LZG Q8F,2021-01-01,441,01,Alabama,1,Q1 (January - March),N,NIBRS Incident,200,Arson,20,Residence/Home,1,11,Anti-White,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,B,Black or African American,N,Not Hispanic or Latino,2021,1,Friday,False,Non-Violent
AZ0080000,V2-IYBRWSU72,2021-01-01,1065,02,Arizona,1,Q1 (January - March),N,NIBRS Incident,120,Robbery,20,Residence/Home,1,28,Anti-Church of Jesus Christ (LDS),Religion,I,Individual,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Violent
CA0191900,0819PU72ZPX8,2021-01-01,1482,04,California,1,Q1 (January - March),,,13C,Intimidation,20,Residence/Home,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,2,2,0,2,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Non-Violent
CA0331300,CN0BRVSQT28N,2021-01-01,1788,04,California,1,Q1 (January - March),,,13A,Aggravated Assault,13,Highway/Road/Alley,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Violent
CA0350100,NM-U72841AEM,2021-01-01,1864,04,California,1,Q1 (January - March),,,13C,Intimidation,21,Restaurant,1,41,Anti-Gay (Male),Sexual Orientation,I,Individual,1,1,0,1,1,1,0,1,U,Unknown,H,Hispanic or Latino,2021,1,Friday,False,Non-Violent
CA0431000,CN0BRVSD728N,2021-01-01,2082,04,California,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,50,Park/Playground,2,21,Anti-Jewish,Religion,BG,"Business, Government",0,0,0,0,0,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
CO0070400,CN0BRVSQ628N,2021-01-01,2403,05,Colorado,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,24,Specialty Store,2,31,Anti-Arab,Race/Ethnicity,I,Individual,3,3,0,3,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Violent
CO0070600,CN0BROPU728N,2021-01-01,2405,05,Colorado,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,18,Parking Lot/Garage,1,32,Anti-Hispanic or Latino,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,I,American Indian/Alaska Native,U,Unknown,2021,1,Friday,False,Non-Violent
CO0210100,2W2MPU72INKR,2021-01-01,2460,05,Colorado,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,13,Highway/Road/Alley,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,H,Hispanic or Latino,2021,1,Friday,False,Violent
DCFBIWA01,ST4BAHPU728N,2021-01-01,2891,98,Unknown,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,04,Church/Synagogue/Temple,1,12,Anti-Black or African American,Race/Ethnicity,R,Religious Organization,0,0,0,0,1,0,0,0,U,Unknown,U,Unknown,2021,1,Friday,False,Non-Violent
FL0160000,2W2MPU7282TR,2021-01-01,3356,09,Florida,1,Q1 (January - March),,,23*,All Other Larceny (23H),20,Residence/Home,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,2,0,2,2,W,White,U,Unknown,2021,1,Friday,False,Non-Violent
FL0160000,N0N80ERM1U3N,2021-01-01,3356,09,Florida,1,Q1 (January - March),N,NIBRS Incident,23H,All Other Larceny,20,Residence/Home,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,2,0,2,2,W,White,U,Unknown,2021,1,Friday,False,Non-Violent
FL0580100,2W2HPU728YK8,2021-01-01,4187,09,Florida,1,Q1 (January - March),,,13C,Intimidation,20,Residence/Home,1,43,Anti-LGBTQ+ (Mixed Group),Sexual Orientation,I,Individual,2,2,0,2,2,2,0,2,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Non-Violent
GA0220000,VX2EYGRV3QGC,2021-01-01,4481,10,Georgia,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,20,Residence/Home,1,52,Anti-Mental Disability,Disability,I,Individual,1,1,0,1,0,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
ID0420200,CE0BAARL728N,2021-01-01,5729,11,Idaho,1,Q1 (January - March),N,NIBRS Incident,11A,Rape,20,Residence/Home,1,83,Anti-Buddhist,Religion,I,Individual,1,1,0,1,1,1,0,1,W,White,H,Hispanic or Latino,2021,1,Friday,False,Violent
IL0570100,UG2A5W46RCTD,2021-01-01,6460,12,Illinois,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,25,Other/Unknown,1,21,Anti-Jewish,Religion,R,Religious Organization,0,0,0,0,1,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
MA0130100,2A2HQUOZ6D1A,2021-01-01,9409,20,Massachusetts,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,20,Residence/Home,1,41,Anti-Gay (Male),Sexual Orientation,I,Individual,1,1,0,1,1,1,0,1,U,Unknown,U,Unknown,2021,1,Friday,False,Non-Violent
MI8234900,3I2BQVFC9G3H,2021-01-01,10874,21,Michigan,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,24,Specialty Store,1,24,Anti-Islamic (Muslim),Religion,I,Individual,1,1,0,1,0,0,0,0,U,Unknown,,,2021,1,Friday,False,Violent
MI8290800,50BU6XCCTQS,2021-01-01,10914,21,Michigan,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,13,Highway/Road/Alley,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,0,1,1,1,0,1,1,W,White,,,2021,1,Friday,False,Non-Violent
NC0190200,2W2MPU73TD1A,2021-01-01,13173,32,North Carolina,1,Q1 (January - March),N,NIBRS Incident,23H,All Other Larceny,24,Specialty Store,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Non-Violent
NJ0120900,CN0BRVRQ728N,2021-01-01,14638,29,New Jersey,1,Q1 (January - March),,,13C,Intimidation,18,Parking Lot/Garage,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,0,0,0,0,U,Unknown,U,Unknown,2021,1,Friday,False,Non-Violent
NY0060000,2W2MPU73JN2,2021-01-01,15283,31,New York,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,13,Highway/Road/Alley,1,43,Anti-LGBTQ+ (Mixed Group),Sexual Orientation,I,Individual,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Non-Violent
NY0303000,NM56FCTD1AEM,2021-01-01,15568,31,New York,1,Q1 (January - March),,,290,Destruction/Damage/Vandalism of Property,25,Other/Unknown,1,12,Anti-Black or African American,Race/Ethnicity,B,Business,0,0,0,0,1,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
NY0303000,NM5VSCTD1AEM,2021-01-01,15568,31,New York,1,Q1 (January - March),,,290,Destruction/Damage/Vandalism of Property,25,Other/Unknown,1,12,Anti-Black or African American,Race/Ethnicity,O,Other,0,0,0,0,1,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
OH0090200,2A-HPU72ZD1A,2021-01-01,16579,34,Ohio,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,20,Residence/Home,1,32,Anti-Hispanic or Latino,Race/Ethnicity,I,Individual,1,1,0,1,0,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
OHCOP0000,CN0BREEH128N,2021-01-01,17443,34,Ohio,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,14,Hotel/Motel,3,12,Anti-Black or African American,Race/Ethnicity,I,Individual,3,3,0,3,2,2,0,2,W,White,,,2021,1,Friday,False,Violent
OK0260100,CN0BRVS9728N,2021-01-01,17615,35,Oklahoma,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,20,Residence/Home,1,52,Anti-Mental Disability,Disability,I,Individual,1,0,1,1,2,0,2,2,M,Group of Multiple Races,,,2021,1,Friday,False,Violent
OK0550600,2W2MGU728NJR,2021-01-01,17784,35,Oklahoma,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,09,Drug Store/Doctor's Office/Hospital,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,,,2021,1,Friday,False,Violent
OR0200200,CN0IRWZU728N,2021-01-01,18148,36,Oregon,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,22,School/College,1,12,Anti-Black or African American,Race/Ethnicity,B,Business,0,0,0,0,0,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
OR0260200,CN-V-EPU728N,2021-01-01,18208,36,Oregon,1,Q1 (January - March),N,NIBRS Incident,120,Robbery,13,Highway/Road/Alley,2,43,Anti-LGBTQ+ (Mixed Group),Sexual Orientation,I,Individual,2,2,0,2,1,1,0,1,W,White,U,Unknown,2021,1,Friday,False,Violent
PAPEP0000,CN-40HPU728N,2021-01-01,20445,37,Pennsylvania,1,Q1 (January - March),,,13C,Intimidation,13,Highway/Road/Alley,1,26,"Anti-Multiple Religions, Group",Religion,I,Individual,1,1,0,1,1,1,0,1,W,White,U,Unknown,2021,1,Friday,False,Non-Violent
TX0650000,6D6A5HPU728N,2021-01-01,22505,42,Texas,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,20,Residence/Home,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Violent
TXHPD0000,1A6AFVSPTX I,2021-01-01,23783,42,Texas,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,20,Residence/Home,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,0,0,0,U,Unknown,U,Unknown,2021,1,Friday,False,Non-Violent
TXHPD0000,WN6EL 1CT0W5,2021-01-01,23783,42,Texas,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,20,Residence/Home,1,52,Anti-Mental Disability,Disability,I,Individual,1,1,0,1,1,1,0,1,B,Black or African American,N,Not Hispanic or Latino,2021,1,Friday,False,Violent
UT0240200,LN4V5HPU728N,2021-01-01,23926,43,Utah,1,Q1 (January - March),N,NIBRS Incident,23H,All Other Larceny,20,Residence/Home,1,13,Anti-American Indian/Alaska Native,Race/Ethnicity,O,Other,0,0,0,0,1,0,0,0,U,Unknown,U,Unknown,2021,1,Friday,False,Non-Violent
VA0290100,2W2MPUF29YKA,2021-01-01,24096,45,Virginia,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,14,Hotel/Motel,2,12,Anti-Black or African American,Race/Ethnicity,I,Individual,2,2,0,2,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Friday,False,Violent
WA0060300,2W2MGU72860A,2021-01-01,24666,46,Washington,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,13,Highway/Road/Alley,1,12,Anti-Black or African American,Race/Ethnicity,G,Government,0,0,0,0,0,0,0,0,U,Unknown,,,2021,1,Friday,False,Non-Violent
WA0150000,2A-RPU729D1A,2021-01-01,24709,46,Washington,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,20,Residence/Home,1,32,Anti-Hispanic or Latino,Race/Ethnicity,I,Individual,1,1,0,1,2,2,0,2,W,White,,,2021,1,Friday,False,Violent
WA0170200,2W2MPU73UC2,2021-01-01,24717,46,Washington,1,Q1 (January - March),N,NIBRS Incident,13C,Intimidation,25,Other/Unknown,1,14,Anti-Asian,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,U,Unknown,U,Unknown,2021,1,Friday,False,Non-Violent
CO0350400,LU2MGU728NBN,2021-01-02,2533,05,Colorado,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,20,Residence/Home,2,32,Anti-Hispanic or Latino,Race/Ethnicity,I,Individual,2,2,0,2,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Saturday,True,Violent
CO0590000,2W2MPU728G0R,2021-01-02,2627,05,Colorado,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,20,Residence/Home,1,32,Anti-Hispanic or Latino,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Saturday,True,Violent
CODPD0000,2A-HPU72LL8D,2021-01-02,2697,05,Colorado,1,Q1 (January - March),N,NIBRS Incident,290,Destruction/Damage/Vandalism of Property,04,Church/Synagogue/Temple,1,21,Anti-Jewish,Religion,B,Business,0,0,0,0,1,0,0,0,U,Unknown,U,Unknown,2021,1,Saturday,True,Non-Violent
GA0570200,2W2MPU7 UD1A,2021-01-02,4682,10,Georgia,1,Q1 (January - March),N,NIBRS Incident,13A,Aggravated Assault,13,Highway/Road/Alley,2,11,Anti-White,Race/Ethnicity,I,Individual,2,0,2,2,1,1,0,1,B,Black or African American,N,Not Hispanic or Latino,2021,1,Saturday,True,Violent
IA0580000,CN0BROSL728N,2021-01-02,5451,14,Iowa,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,20,Residence/Home,1,81,Anti-Eastern Orthodox,Religion,I,Individual,1,0,1,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Saturday,True,Violent
MA0130100,2A2HPUH 8D1A,2021-01-02,9409,20,Massachusetts,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,13,Highway/Road/Alley,1,32,Anti-Hispanic or Latino,Race/Ethnicity,I,Individual,1,1,0,1,0,0,0,0,U,Unknown,,,2021,1,Saturday,True,Violent
MD0010200,UT01KVSCPX8N,2021-01-02,9559,19,Maryland,1,Q1 (January - March),N,NIBRS Incident,13B,Simple Assault,20,Residence/Home,1,52,Anti-Mental Disability,Disability,L,Unknown,1,1,0,1,1,1,0,1,W,White,N,Not Hispanic or Latino,2021,1,Saturday,True,Violent
NJ0041200,NM-U72L4 AEM,2021-01-02,14437,29,New Jersey,1,Q1 (January - March),,,13C,Intimidation,20,Residence/Home,1,12,Anti-Black or African American,Race/Ethnicity,I,Individual,1,1,0,1,1,1,0,1,W,White,U,Unknown,2021,1,Saturday,True,Non-Violent
NY0303000,CN2W5HPU728N,2021-01-02,15568,31,New York,1,Q1 (January - March),,,290,Destruction/Damage/Vandalism of Property,25,Other/Unknown,1,21,Anti-Jewish,Religion,O,Other,0,0,0,0,1,0,0,0,U,Unknown,,,2021,1,Saturday,True,Non-Violent
