incident_date,year,month,month_name,quarter,day_of_week,is_weekend,day_of_year,state_name,region,region_code,division,city,agency_name,agency_type,population,population_category,population_group,location,offense_description,offense_severity,severity_score,bias_category,bias_group,bias_motivation,total_victims,adult_victims,juvenile_victims,total_offenders,adult_offenders,juvenile_offenders,victim_offender_ratio,hate_crime_index,victim_types,offender_race,offender_ethnicity
2021-01-01,2021,1,January,Q1,Friday,False,1,Alabama,South,3.0,East South Central,Crossville,CROSSVILLE,City,1810.0,Very Small,"Cities <2,500",Residence/Home,Arson,Non-Violent,1.0,Race/Ethnicity,Race/Ethnicity,Anti-White,1,1,0,1,1,0,1.0,0.6931471805599453,Individual,Black or African American,Not Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,Arizona,South,3.0,East South Central,Livingston,LIVINGSTON,City,3112.0,Small,"Cities 2,500-9,999",Residence/Home,Robbery,Violent,3.0,Religion,Religion,Anti-Church of Jesus Christ (LDS),1,1,0,1,1,0,1.0,2.0794415416798357,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,California,West,4.0,Pacific,Barrow,NORTH SLOPE BOROUGH,City,10698.0,Medium,"Cities 10,000-24,999",Park/Playground,Destruction/Damage/Vandalism of Property,Non-Violent,1.0,Religion,Religion,Anti-Jewish,0,0,0,0,0,0,,0.0,"Business, Government",,
2021-01-01,2021,1,January,Q1,Friday,False,1,California,South,3.0,East South Central,Rainbow City,RAINBOW CITY,City,10309.0,Medium,"Cities 10,000-24,999",Residence/Home,Intimidation,Non-Violent,1.0,Race/Ethnicity,Race/Ethnicity,Anti-Black or African American,2,2,0,1,1,0,2.0,1.0986122886681098,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,California,South,3.0,East South Central,Uniontown,UNIONTOWN,City,2102.0,Very Small,"Cities <2,500",Highway/Road/Alley,Aggravated Assault,Violent,3.0,Race/Ethnicity,Race/Ethnicity,Anti-Black or African American,1,1,0,1,1,0,1.0,2.0794415416798357,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,California,South,3.0,East South Central,West Blocton,WEST BLOCTON,City,1222.0,Very Small,"Cities <2,500",Restaurant,Intimidation,Non-Violent,1.0,Sexual Orientation,Sexual Orientation,Anti-Gay (Male),1,1,0,1,1,0,1.0,0.6931471805599453,Individual,,Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,Colorado,West,4.0,Mountain,Fort Mcdowell,FORT MCDOWELL TRIBAL,Tribal / BIA Agencies,,,"Cities <2,500","Specialty Store (TV, Fur, Etc.)",Aggravated Assault,Violent,3.0,Race/Ethnicity,Race/Ethnicity,Anti-Arab,3,3,0,1,1,0,3.0,4.1588830833596715,Individual,White,Not Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,Colorado,West,4.0,Mountain,Gila Bend,GILA BEND,City,1880.0,Very Small,"Cities <2,500",Parking Lot/Garage,Intimidation,Non-Violent,1.0,Race/Ethnicity,Race/Ethnicity,Anti-Hispanic or Latino,1,1,0,1,1,0,1.0,0.6931471805599453,Individual,American Indian/Alaska Native,
2021-01-01,2021,1,January,Q1,Friday,False,1,Colorado,West,4.0,Mountain,Kingman,KINGMAN,City,32210.0,Medium,"Cities 25,000-49,999",Highway/Road/Alley,Aggravated Assault,Violent,3.0,Race/Ethnicity,Race/Ethnicity,Anti-Black or African American,1,1,0,1,1,0,1.0,2.0794415416798357,Individual,White,Hispanic or Latino
2021-01-01,2021,1,January,Q1,Friday,False,1,Florida,South,3.0,West South Central,Des Arc,DES ARC,City,1553.0,Very Small,"Cities <2,500",Residence/Home,All Other Larceny (23H),Non-Violent,1.0,Race/Ethnicity,Race/Ethnicity,Anti-Black or African American,1,1,0,2,0,2,0.5,0.6931471805599453,Individual,White,
