year,record_type,state,ori,agency_name,agency_type,population_group,country_division,population,agency_status,covered_by_ori,fbi_field_office,judicial_district
2021,BH,50,AK0010100,000000000000,,,AN,CHORAGE,,,,
2021,BH,50,AK0010200,000000000000        20210,1,01,FA,IRBANKS,,,,
2021,BH,50,AK0010300,000000000000        20221,0,01,JU,NEAU,,,,
2021,BH,50,AK0010400,000000000000        20210,1,01,KE,TCHIKAN,,,,
2021,BH,50,AK0010500,000000000000        20210,1,01,KO,DIAK,,,,
2021,BH,50,AK0010600,000000000000        20210,1,01,NO,ME,,,,
2021,BH,50,AK0010700,000000000000        20210,1,01,PE,TERSBURG,,,,
2021,BH,50,AK0010800,000000000000        20210,1,01,SE,WARD,,,,
2021,BH,50,AK0010900,000000000000        20210,1,01,SI,TKA,,,,
2021,BH,50,AK0011000,000000000000        20210,1,01,SK,AGWAY,,,,
2021,BH,50,AK0011100,000000000000        20210,1,01,WR,ANGELL,,,,
2021,BH,50,AK0011200,000000000000        20210,1,01,VA,LDEZ,,,,
2021,BH,50,AK0011300,000000000000        20210,1,01,BE,THEL,,,,
2021,BH,50,AK0011400,000000000000        20210,1,01,CO,RDOVA,,,,
2021,BH,50,AK0011600,000000000000        20210,1,01,KO,TZEBUE,,,,
2021,BH,50,AK0011700,000000000000        20210,1,01,PA,LMER,,,,
2021,BH,50,AK0011800,000000000000        20210,1,01,BA,RROW,,,,
2021,BH,50,AK0011900,000000000000,,,SE,LDOVIA,,,,
2021,BH,50,AK0012000,000000000000        20210,1,01,SO,LDOTNA,,,,
2021,BH,50,AK0012100,000000000000        20210,1,01,HA,INES,,,,
2021,BH,50,AK0012200,000000000000        20210,1,01,HO,MER,,,,
2021,BH,50,AK0012300,000000000000        20210,1,01,KE,NAI,,,,
2021,BH,50,AK0012400,000000000000,,,AN,CHORAGE,,,,
2021,BH,50,AK0012500,000000000000        20210,1,01,ME,TLAKATLA,,,,
2021,BH,50,AK0012600,000000000000        20210,1,01,FA,IRBANKS,,,,
2021,BH,50,AK0012700,000000000000        20210,1,01,AN,CHORAGE,,,,
2021,BH,50,AK0012800,000000000000,,,WH,ITTIER,,,,
2021,BH,50,AK0013000,000000000000        20210,1,01,DI,LLINGHAM,,,,
2021,BH,50,AK0013100,000000000000,,,HO,ONAH,,,,
2021,BH,50,AK0013200,000000000000        20210,1,01,NO,RTH POLE,,,,
2021,BH,50,AK0013300,000000000000        20210,1,01,UN,ALASKA,,,,
2021,BH,50,AK0013500,000000000000,,,KL,AWOCK,,,,
2021,BH,50,AK0014200,000000000000        20210,1,01,FA,IRBANKS,,,,
2021,BH,50,AK0014300,000000000000        20210,1,01,AN,CHORAGE,,,,
2021,BH,50,AK0014500,000000000000        20210,1,01,CR,AIG,,,,
2021,BH,50,AK0014600,000000000000        20210,1,01,KI,NG SALMON,,,,
2021,BH,50,AK0014700,000000000000,,,KA,KE,,,,
2021,BH,50,AK0014900,000000000000,,,NE,NANA,,,,
2021,BH,50,AK0015000,000000000000,,,SA,INT PAUL,I,SLAND,,
2021,BH,50,AK0015200,000000000000,,,SA,ND POINT,,,,
2021,BH,50,AK0015400,000000000000,,,TO,GIAK,,,,
2021,BH,50,AK0015600,000000000000        20210,1,01,WA,SILLA,,,,
2021,BH,50,AK0016300,000000000000,,,AN,VIK,,,,
2021,BH,50,AK0016400,000000000000,,,EM,MONAK,,,,
2021,BH,50,AK0016600,000000000000,,,HO,USTON,,,,
2021,BH,50,AK020045Y,000000000000,,,AN,CHORAGE,,,,
2021,BH,50,AKASP0000,000000000000,,,AN,CHORAGE,,,,
2021,BH,50,AKAST0000,000000000000,,,,,,,,
2021,BH,50,AKAST0100,000000000000        20210,1,01,An,chorage,,,,
2021,BH,50,AKAST0600,000000000000,,,,,,,,
2021,BH,50,AKAST1500,000000000000,,,An,chorage,,,,
2021,BH,98,AKATF0200,000000000000,,,,,,,,
2021,BH,50,AKDI00100,000000000000,,,,,,,,
2021,BH,50,AKDI00200,000000000000,,,,,,,,
2021,BH,50,AKDI00300,000000000000,,,,,,,,
2021,BH,50,AKDI00400,000000000000,,,,,,,,
2021,BH,98,AKFBIAN00,000000000000,,,,,,,,
2021,BH,01,AL0010000,000000000000        20210,1,01,BI,RMINGHAM,,,,
2021,BH,01,AL0010100,000000000000        20060,1,01,BE,SSEMER,,,,
2021,BH,01,AL0010200,000000000000        20210,2,01,BI,RMINGHAM,,,,
2021,BH,01,AL0010300,000000000000        20210,1,01,BI,RMINGHAM,,,,
2021,BH,01,AL0010400,000000000000,,,FA,IRFIELD,,,,
2021,BH,01,AL0010500,000000000000        20210,1,01,GA,RDENDALE,,,,
2021,BH,01,AL0010600,000000000000        20060,1,01,LE,EDS,,,,
2021,BH,01,AL0010700,000000000000        20200,1,01,MI,DFIELD,,,,
2021,BH,01,AL0010800,000000000000        20210,2,01,BI,RMINGHAM,,,,
2021,BH,01,AL0010900,000000000000        20210,1,01,BI,RMINGHAM,,,,
2021,BH,01,AL0011000,000000000000        20120,1,01,BI,RMINGHAM,,,,
2021,BH,01,AL0011100,000000000000        20060,1,01,FU,LTONDALE,,,,
2021,BH,01,AL0011200,000000000000        20060,1,01,HO,OVER,,,,
2021,BH,01,AL0011300,000000000000        20090,5,01,IR,ONDALE,,,,
2021,BH,01,AL0011400,000000000000        20110,1,01,PL,EASANT GR,O,VE,,
2021,BH,01,AL0011500,000000000000,,,RO,OSEVELT C,I,TY,,
2021,BH,01,AL0011600,000000000000        20210,1,01,GR,AYSVILLE,,,,
2021,BH,01,AL0011700,000000000000,,,BI,RMINGHAM,,,,
2021,BH,01,AL0011800,000000000000        20210,1,01,BE,SSEMER,,,,
2021,BH,01,AL0011900,000000000000        20120,2,01,BE,SSEMER,,,,
2021,BH,01,AL0012000,000000000000        20200,1,01,BE,SSEMER,,,,
2021,BH,01,AL0012100,000000000000        20130,5,01,TR,USSVILLE,,,,
2021,BH,01,AL0012200,000000000000        20200,1,01,AD,AMSVILLE,,,,
2021,BH,01,AL0012300,000000000000        20210,1,01,WA,RRIOR,,,,
2021,BH,01,AL0012400,000000000000        20100,4,01,BI,RMINGHAM,,,,
2021,BH,01,AL0012500,000000000000        20201,2,01,TR,AFFORD,,,,
2021,BH,01,AL0012600,000000000000        20210,1,01,MO,RRIS,,,,
2021,BH,01,AL0012700,000000000000        20210,1,01,BR,OOKSIDE,,,,
2021,BH,01,AL0012800,000000000000,,,BI,RMINGHAM,,,,
2021,BH,01,AL0012900,000000000000        20210,1,01,KI,MBERLY,,,,
2021,BH,01,AL0013000,000000000000,,,BI,RMINGHAM,,,,
2021,BH,01,AL0013200,000000000000,,,MC,CALLA,,,,
2021,BH,01,AL0013400,000000000000        20200,1,01,BI,RMINGHAM,,,,
2021,BH,01,AL001359E,000000000000,,,BI,RMINGHAM,,,,
2021,BH,01,AL0014000,000000000000        20200,1,01,,,,,,
2021,BH,01,AL001419E,000000000000        20210,4,01,BI,RMINGHAM,,,,
2021,BH,01,AL0014500,000000000000,,,TR,USSVILLE,,,,
2021,BH,01,AL0020000,000000000000        20210,1,01,MO,BILE,,,,
2021,BH,01,AL0020100,000000000000        20210,1,01,MO,BILE,,,,
2021,BH,01,AL0020200,000000000000        20200,1,01,PR,ICHARD,,,,
2021,BH,01,AL0020300,000000000000        20200,1,01,MO,BILE,,,,
2021,BH,01,AL0020400,000000000000        20210,1,01,CI,TRONELLE,,,,
2021,BH,01,AL0020500,000000000000        20210,1,01,SA,RALAND,,,,
2021,BH,01,AL0020600,000000000000        20200,1,01,BA,YOU LA BA,T,RE,,
2021,BH,01,AL0020700,000000000000        20200,1,01,SA,TSUMA,,,,
2021,BH,01,AL0020800,000000000000        20200,9,01,MO,UNT VERNO,N,,,
2021,BH,01,AL0020900,000000000000,,,WI,LMER,,,,
2021,BH,01,AL0021200,000000000000        20210,1,01,CR,EOLA,,,,
2021,BH,01,AL0021300,000000000000        20210,2,01,Mo,bile,,,,
2021,BH,01,AL0021400,000000000000        20200,9,01,MO,BILE,,,,
2021,BH,01,AL0021500,000000000000        20200,1,01,DA,UPHIN ISL,A,ND,,
2021,BH,01,AL0021700,000000000000        20220,6,01,MO,BILE,,,,
2021,BH,01,AL0021800,000000000000,,,,,,,,
2021,BH,01,AL0022200,000000000000        20220,1,01,,,,,,
2021,BH,01,AL0030000,000000000000        20210,6,01,MO,NTGOMERY,,,,
2021,BH,01,AL0030100,000000000000        20210,1,01,MO,NTGOMERY,,,,
2021,BH,01,AL0030300,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0030400,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0030500,000000000000        20210,1,01,MO,NTGOMERY,,,,
2021,BH,01,AL0030600,000000000000        20220,1,01,MO,NTGOMERY,,,,
2021,BH,01,AL0030700,000000000000        20200,1,01,MO,NTGOMERY,,,,
2021,BH,01,AL0030800,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0031000,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0031300,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0031400,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0031600,000000000000        20220,1,01,,,,,,
2021,BH,01,AL0031800,000000000000,,,,,,,,
2021,BH,01,AL0031900,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0032000,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0032200,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0032500,000000000000        20201,1,01,,,,,,
2021,BH,01,AL0032600,000000000000,,,,,,,,
2021,BH,01,AL0032900,000000000000        20220,8,01,,,,,,
2021,BH,01,AL0033100,000000000000        20210,3,01,,,,,,
2021,BH,01,AL0033200,000000000000        20210,1,01,,,,,,
2021,BH,01,AL003FA00,000000000000,,,MO,NTGOMERY,,,,
2021,BH,01,AL0040000,000000000000        20210,1,01,PR,ATTVILLE,,,,
2021,BH,01,AL0040100,000000000000        20210,5,01,PR,ATTVILLE,,,,
2021,BH,01,AL0040200,000000000000        20210,1,01,AU,TAUGAVILL,E,,,
2021,BH,01,AL0050000,000000000000        20230,1,01,BA,Y MINETTE,,,,
2021,BH,01,AL0050100,000000000000        20100,6,01,BA,Y MINETTE,,,,
2021,BH,01,AL0050200,000000000000        20151,1,01,FA,IRHOPE,,,,
