year,record_type,state,ori,agency_name,agency_type,population_group,country_division,population,agency_status,covered_by_ori,fbi_field_office,judicial_district
2021,BH,50,AK0010100,000000000000,Unknown,Unknown,AN,CHORAGE,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010200,000000000000        20210,County,Unknown,FA,IRBANKS,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010300,000000000000        20221,City,Unknown,JU,NEAU,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010400,000000000000        20210,County,Unknown,KE,TCHIKAN,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010500,000000000000        20210,County,Unknown,KO,DIAK,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010600,000000000000        20210,County,Unknown,NO,ME,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010700,000000000000        20210,County,Unknown,PE,TERSBURG,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010800,000000000000        20210,County,Unknown,SE,WARD,Unknown,None,Unknown,Unknown
2021,BH,50,AK0010900,000000000000        20210,County,Unknown,SI,TKA,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011000,000000000000        20210,County,Unknown,SK,AGWAY,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011100,000000000000        20210,County,Unknown,WR,ANGELL,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011200,000000000000        20210,County,Unknown,VA,LDEZ,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011300,000000000000        20210,County,Unknown,BE,THEL,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011400,000000000000        20210,County,Unknown,CO,RDOVA,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011600,000000000000        20210,County,Unknown,KO,TZEBUE,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011700,000000000000        20210,County,Unknown,PA,LMER,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011800,000000000000        20210,County,Unknown,BA,RROW,Unknown,None,Unknown,Unknown
2021,BH,50,AK0011900,000000000000,Unknown,Unknown,SE,LDOVIA,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012000,000000000000        20210,County,Unknown,SO,LDOTNA,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012100,000000000000        20210,County,Unknown,HA,INES,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012200,000000000000        20210,County,Unknown,HO,MER,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012300,000000000000        20210,County,Unknown,KE,NAI,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012400,000000000000,Unknown,Unknown,AN,CHORAGE,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012500,000000000000        20210,County,Unknown,ME,TLAKATLA,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012600,000000000000        20210,County,Unknown,FA,IRBANKS,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012700,000000000000        20210,County,Unknown,AN,CHORAGE,Unknown,None,Unknown,Unknown
2021,BH,50,AK0012800,000000000000,Unknown,Unknown,WH,ITTIER,Unknown,None,Unknown,Unknown
2021,BH,50,AK0013000,000000000000        20210,County,Unknown,DI,LLINGHAM,Unknown,None,Unknown,Unknown
2021,BH,50,AK0013100,000000000000,Unknown,Unknown,HO,ONAH,Unknown,None,Unknown,Unknown
2021,BH,50,AK0013200,000000000000        20210,County,Unknown,NO,RTH POLE,Unknown,None,Unknown,Unknown
2021,BH,50,AK0013300,000000000000        20210,County,Unknown,UN,ALASKA,Unknown,None,Unknown,Unknown
2021,BH,50,AK0013500,000000000000,Unknown,Unknown,KL,AWOCK,Unknown,None,Unknown,Unknown
