year,record_type,incident_id,ori_code,incident_date,total_individual_victims,total_offenses,bias_motivation_1,bias_motivation_2,bias_motivation_3,bias_motivation_4,bias_motivation_5
2021,IR,50AK00101002,W2MGU73SX,X8202105,27,2,00,10,0U,29,00
2021,IR,50AK00101002,W2MGU73SY,2 202105,25,2,00,00,1W,29,00
2021,IR,50AK00101002,W2MGU82JN,B4202108,25,3,00,30,1W,13,C0
2021,IR,50AK00101002,W2MGU82S4,68202111,04,4,00,00,0U,29,00
2021,IR,50AK0010100P,T-0WE0W4H,CT202104,29,2,00,10,2I,13,A0
2021,IR,50AK0010200C,N0BAM5D72,8N202108,02,N3,00,10,2I,13,A0
2021,IR,50AK0010200C,N0BIVMR72,8N202108,13,N3,00,10,1W,13,C0
2021,IR,50AK0010200C,N0BIWS972,8N202109,24,N3,00,00,1I,29,00
2021,IR,50AK0010300C,N01REICT-,8N202102,02,2,00,10,0U,13,B0
2021,IR,50AK0010300Z,91X J8ZU6,39202112,29,4,00,10,1B,13,B0
2021,IR,50AK0010400C,N-VAO5U72,8N202110,03,N4,00,00,0U,29,00
2021,IR,50AK00106003,I-MQ3QCZX,I202107,18,N3,00,10,0U,23,H0
2021,IR,50AK0010700C,N-BEOSU72,8N202104,29,N2,00,10,1W,13,C0
2021,IR,50AK0010800C,N-B-YZU72,8N202109,22,N3,00,30,1W,13,B0
2021,IR,50AK0011700P,E2MPUH3I7,1A202111,05,N4,00,10,1W,13,A0
2021,IR,50AK0015600W,81HPUOPZY,1A202108,21,N3,00,10,1W,13,C0
2021,IR,50AK0015600W,81HPUOZJ2,1A202108,06,N3,00,10,1W,13,A0
2021,IR,50AKAST0100D,42A5WL-XN,TD202108,15,N3,00,10,0U,29,00
2021,IR,50AKAST0100G,B2WKBBM61,9G202107,14,N3,00,20,1I,13,A0
2021,IR,50AKAST0100G,B2WKBBM61,NG202107,14,N3,00,10,1I,13,C0
2021,IR,01AL00100002,7231GOYLC,XV202110,07,N4,00,10,1W,13,B0
2021,IR,01AL00100002,H6W8M9H4K,7 202109,02,N3,00,10,1B,13,B0
2021,IR,01AL00100002,W2JPU7Z7N,XO202104,13,N2,00,10,1B,13,A0
2021,IR,01AL00100002,ZE6O-L326,ST202105,10,N2,00,10,1W,13,C0
2021,IR,01AL00100003,S0GHP4YMZ,SL202108,22,N3,00,00,1W,29,00
2021,IR,01AL00100006,96A5PTV30,1Q202109,09,N3,00,00,1W,29,00
2021,IR,01AL00100008,WDEJ-K1J6,X0202102,02,N1,00,10,1W,13,A0
2021,IR,01AL0010000A,ZEKH18Y7H,Z4202108,20,N3,00,10,1W,13,B0
2021,IR,01AL0010000D,96IGAR23P,U6202111,14,N4,00,10,1U,23,G0
2021,IR,01AL0010000E,M2MRVC3TU,E2202111,16,N4,00,10,1U,26,F0
2021,IR,01AL0010000H,E193G07Q,5P202108,10,N3,00,10,1W,13,B0
2021,IR,01AL0010000H,Q7G6OPPYP,6S202106,27,N2,00,00,1B,35,A0
2021,IR,01AL0010000H,SCF7R8HWW,33202110,04,N4,00,10,1U,23,F0
2021,IR,01AL0010000I,E0DVPBMDO,TC202109,08,N3,00,10,0U,29,00
2021,IR,01AL0010000I,GAM8S0HFQ,3C202105,18,N2,00,10,1W,13,C0
2021,IR,01AL0010000I,QBI5Q-PGA,2Q202108,21,N3,00,00,2B,23,D0
2021,IR,01AL0010000K,-EYLL64K0,Z5202106,25,N2,00,00,1B,29,00
2021,IR,01AL0010000O,24G0XNSPM,RX202108,26,N3,00,10,1U,23,D0
2021,IR,01AL0010000O,7U8QHB4T,DN202105,10,N2,00,10,1W,13,C0
2021,IR,01AL0010000P,N8RC6A7KO,01202105,24,N2,00,00,3B,29,00
2021,IR,01AL0010000P,T46GGGA3O,P7202107,21,N3,00,10,1B,13,B0
